run_date,market_region,universe_mode,ticker,name,entry_price,target1_price,target2_price,stop_price,data_quality,liquidity_warning,risk_reward_warning,days_after,tracking_date,close_price,return_pct,max_return_pct,min_return_pct,hit_target1,hit_target2,hit_stop,first_hit,status,next_open_price,next_open_gap_pct
2026-07-10,kr,kospi_kosdaq,383220.KS,F&F,77600.0,83000.0,86100.0,71660.0,good,,손익비 기준 미달: 0.84 < 1.20,10.0,2026-07-27,77800.0,0.2577,6.5722,-6.1856,0.0,0.0,0.0,none,completed,77700.0,0.1289
2026-07-10,kr,kospi_kosdaq,383220.KS,F&F,77600.0,83000.0,86100.0,71660.0,good,,손익비 기준 미달: 0.84 < 1.20,9.0,2026-07-24,76100.0,-1.933,6.5722,-6.1856,0.0,0.0,0.0,none,tracking,77700.0,0.1289
2026-07-10,kr,kospi_kosdaq,383220.KS,F&F,77600.0,83000.0,86100.0,71660.0,good,,손익비 기준 미달: 0.84 < 1.20,8.0,2026-07-23,76400.0,-1.5464,6.5722,-6.1856,0.0,0.0,0.0,none,tracking,77700.0,0.1289
2026-07-10,kr,kospi_kosdaq,383220.KS,F&F,77600.0,83000.0,86100.0,71660.0,good,,손익비 기준 미달: 0.84 < 1.20,7.0,2026-07-22,74000.0,-4.6392,6.5722,-6.0567,0.0,0.0,0.0,none,tracking,77700.0,0.1289
2026-07-10,kr,kospi_kosdaq,383220.KS,F&F,77600.0,83000.0,86100.0,71660.0,good,,손익비 기준 미달: 0.84 < 1.20,6.0,2026-07-21,75400.0,-2.8351,6.5722,-6.0567,0.0,0.0,0.0,none,tracking,77700.0,0.1289
2026-07-10,kr,kospi_kosdaq,383220.KS,F&F,77600.0,83000.0,86100.0,71660.0,good,,손익비 기준 미달: 0.84 < 1.20,5.0,2026-07-20,74400.0,-4.1237,6.5722,-4.768,0.0,0.0,0.0,none,tracking,77700.0,0.1289
2026-07-10,kr,kospi_kosdaq,383220.KS,F&F,77600.0,83000.0,86100.0,71660.0,good,,손익비 기준 미달: 0.84 < 1.20,4.0,2026-07-16,79000.0,1.8041,6.5722,-0.7732,0.0,0.0,0.0,none,tracking,77700.0,0.1289
2026-07-10,kr,kospi_kosdaq,383220.KS,F&F,77600.0,83000.0,86100.0,71660.0,good,,손익비 기준 미달: 0.84 < 1.20,3.0,2026-07-15,78500.0,1.1598,6.5722,-0.7732,0.0,0.0,0.0,none,tracking,77700.0,0.1289
2026-07-10,kr,kospi_kosdaq,383220.KS,F&F,77600.0,83000.0,86100.0,71660.0,good,,손익비 기준 미달: 0.84 < 1.20,2.0,2026-07-14,77300.0,-0.3866,6.5722,-0.7732,0.0,0.0,0.0,none,tracking,77700.0,0.1289
2026-07-10,kr,kospi_kosdaq,383220.KS,F&F,77600.0,83000.0,86100.0,71660.0,good,,손익비 기준 미달: 0.84 < 1.20,1.0,2026-07-13,79900.0,2.9639,6.5722,-0.7732,0.0,0.0,0.0,none,tracking,77700.0,0.1289
